root,meas,length
R1,1,10.22
R1,2,11.5
R1,3,11.5
R1,4,11.8
R1,5,11.8
R1,6,11.8
R1,7,11.8
R1,8,11.8
R1,9,11.8
R1,10,11.8
R1,11,11.8
R1,12,11.8
R1,13,11.8
R1,14,11.8
R1,15,11.8
R10,7,0.7
R10,8,0.7
R10,9,0.7
R10,10,0.7
R10,11,0.7
R10,12,0.7
R10,13,0.7
R10,14,0.7
R10,15,0.7
R2,1,1.72
R2,2,1.72
R2,3,1.72
R2,4,1.75
R2,5,1.04
R2,6,1.04
R2,7,1.04
R2,8,1.04
R2,9,1.04
R2,10,1.04
R2,11,1.04
R2,12,1.04
R2,13,1.04
R2,14,1.04
R2,15,1.04
R3,1,1.88
R3,2,2.48
R3,3,4.58
R3,4,4.58
R3,5,4.58
R3,6,4.58
R3,7,4.58
R3,8,4.58
R3,9,4.58
R3,10,4.58
R3,11,4.58
R3,12,4.58
R3,13,3.66
R3,14,3.66
R3,15,3.66
R4,2,0.81
R4,3,0.81
R4,4,1.29
R4,5,1.54
R4,6,1.54
R4,7,1.54
R4,8,1.54
R4,9,1.54
R4,10,1.54
R4,11,1.54
R4,12,1.54
R4,13,1.54
R4,14,1.54
R4,15,1.54
R5,2,0.83
R5,3,0.83
R5,4,0.83
R5,5,0.83
R5,6,1.74
R5,7,1.16
R5,8,1.16
R5,9,1.16
R5,10,1.16
R5,11,1.16
R5,12,1.16
R5,13,1.16
R5,14,1.16
R5,15,1.16
R6,4,1.58
R6,5,1.9
R6,6,4.25
R6,7,4.25
R6,8,4.25
R6,9,4.25
R6,10,4.25
R6,11,4.25
R6,12,4.25
R6,13,4.25
R6,14,4.25
R6,15,4.25
R7,7,2.17
R7,8,2.17
R7,9,2.75
R7,10,2.75
R7,11,2.69
R7,12,2.69
R7,13,2.69
R7,14,2.69
R7,15,2.69
R8,7,0.92
R8,8,1.8
R8,9,1.8
R8,10,1.8
R8,11,1.8
R8,12,1.8
R8,13,1.8
R8,14,1.8
R8,15,1.8
R9,7,1.17
R9,8,1.45
R9,9,1.82
R9,10,1.82
R9,11,1.82
R9,12,1.82
R9,13,1.82
R9,14,1.82
R9,15,1.82
